Name,Country,lat,lng,Average_Score,Num_of_Reviews,total_stay_duration,business_trips,couples_stay,pet_stay,family_with_older_stays,family_with_younger_stays,solo_stays,group_stays,resident_stays,positive_minus_negative_word_count,Complains_Breakfast,Complains_Price,Positives_Clean,Positives_Location,Avg_Stay_Duration,Businesses_100m,Businesses_1km,Businesses_5km
11 Cadogan Gardens, United Kingdom ,51.4936161,-0.1592347,8.7,159,362,0.169811320754717,0.566037735849057,0,0.0628930817610063,0.0566037735849057,0.232704402515723,0.0817610062893082,0.522012578616352,707,0.0754716981132075,0.0251572327044025,0.00628930817610063,0.377358490566038,2.27672955974843,14,758,19200
1K Hotel, France ,48.8639318,2.3658744,7.7,148,405,0.209459459459459,0.472972972972973,0,0,0.0743243243243243,0.331081081081081,0.114864864864865,0.0337837837837838,-1381,0.101351351351351,0.0608108108108108,0.141891891891892,0.337837837837838,2.73648648648649,68,3600,27100
25hours Hotel beim MuseumsQuartier, Austria ,48.2064745,16.3546297,8.8,689,1810,0.158200290275762,0.544267053701016,0.0101596516690856,0.0319303338171263,0.0885341074020319,0.18577648766328,0.142235123367199,0.0420899854862119,3962,0.0957910014513788,0.0362844702467344,0.0609579100145138,0.34833091436865,2.62699564586357,30,2300,10300
41, United Kingdom ,51.4981471,-0.1436492,9.6,103,237,0.087378640776699,0.679611650485437,0,0.0485436893203883,0.0776699029126214,0.116504854368932,0.0776699029126214,0.407766990291262,1691,0.029126213592233,0.00970873786407767,0.00970873786407767,0.145631067961165,2.30097087378641,39,1800,20200
45 Park Lane Dorchester Collection, United Kingdom ,51.5063709,-0.1515359,9.4,28,69,0.25,0.571428571428571,0,0,0.107142857142857,0.321428571428571,0,0.428571428571429,134,0.0357142857142857,0.0357142857142857,0.0714285714285714,0.0714285714285714,2.46428571428571,9,2000,19800
88 Studios, United Kingdom ,51.4992789,-0.2090733,8.4,459,1033,0.263616557734205,0.337690631808279,0.00217864923747277,0.0305010893246187,0.200435729847495,0.276688453159041,0.139433551198257,0.594771241830065,-1135,0.0217864923747277,0.0108932461873638,0.389978213507625,0.235294117647059,2.25054466230937,3,347,8400
9Hotel Republique, France ,48.8708419,2.3605864,8.8,183,421,0.262295081967213,0.475409836065574,0,0.0218579234972678,0.0710382513661202,0.322404371584699,0.103825136612022,0.0382513661202186,437,0.0163934426229508,0.0109289617486339,0.262295081967213,0.289617486338798,2.30054644808743,38,3500,28200
A La Villa Madame, France ,48.8488608,2.3315257,8.8,41,118,0.170731707317073,0.51219512195122,0,0,0.0731707317073171,0.317073170731707,0.0975609756097561,0.0487804878048781,458,0.0487804878048781,0,0.170731707317073,0.439024390243902,2.8780487804878,31,2500,30000
ABaC Restaurant Hotel Barcelona GL Monumento, Spain ,41.4106944,2.136294,8.8,31,88,0.0645161290322581,0.67741935483871,0,0.032258064516129,0.161290322580645,0.129032258064516,0,0.0967741935483871,-513,0,0,0.0645161290322581,0.161290322580645,2.83870967741935,7,290,12100
Abba Garden, Spain ,41.3854716,2.1018835,7.9,125,390,0.304,0.344,0,0.024,0.208,0.256,0.168,0.04,-1154,0.104,0.048,0.264,0.144,3.12,4,28,2600
Abba Sants, Spain ,41.3825777,2.1400103,8.2,120,287,0.0833333333333333,0.608333333333333,0,0.05,0.133333333333333,0.133333333333333,0.075,0.0833333333333333,-115,0.075,0.025,0.241666666666667,0.45,2.39166666666667,8,1200,12800
AC Hotel Barcelona Forum a Marriott Lifestyle Hotel, Spain ,41.4101306,2.2188047,8.1,289,1065,0.179930795847751,0.418685121107266,0,0.0622837370242214,0.193771626297578,0.169550173010381,0.152249134948097,0.0311418685121107,-1919,0.0899653979238754,0.027681660899654,0.114186851211073,0.235294117647059,3.68512110726644,6,153,4900
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel, Spain ,41.3899609,2.135684,8.6,56,159,0.267857142857143,0.232142857142857,0,0.0892857142857143,0.357142857142857,0.232142857142857,0.0892857142857143,0.107142857142857,-208,0.160714285714286,0.107142857142857,0.214285714285714,0.285714285714286,2.83928571428571,47,873,12000
AC Hotel Irla a Marriott Lifestyle Hotel, Spain ,41.3948175,2.1434702,7.9,16,40,0.375,0.4375,0,0,0.1875,0.3125,0,0.1875,-77,0.0625,0,0,0.1875,2.5,32,1600,13100
AC Hotel Milano a Marriott Lifestyle Hotel, Italy ,45.4851799,9.1831189,8.3,72,143,0.222222222222222,0.513888888888889,0.0138888888888889,0.0277777777777778,0.138888888888889,0.180555555555556,0.125,0.0416666666666667,-105,0.125,0.0277777777777778,0.263888888888889,0.25,1.98611111111111,3,1000,10800
AC Hotel Paris Porte Maillot by Marriott, France ,48.8820046,2.2818538,8.5,75,207,0.466666666666667,0.36,0,0.0666666666666667,0.08,0.413333333333333,0.08,0.04,506,0.133333333333333,0.0133333333333333,0.266666666666667,0.28,2.76,1,981,13500
AC Hotel Sants a Marriott Lifestyle Hotel, Spain ,41.3775577,2.1384686,8,91,151,0.10989010989011,0.593406593406593,0,0.032967032967033,0.0659340659340659,0.263736263736264,0.043956043956044,0.0549450549450549,-4,0.0659340659340659,0.0549450549450549,0.164835164835165,0.417582417582418,1.65934065934066,21,876,12600
AC Hotel Victoria Suites a Marriott Lifestyle Hotel, Spain ,41.3893478,2.1209755,8.6,45,102,0.111111111111111,0.444444444444444,0,0.0888888888888889,0.2,0.2,0.0666666666666667,0.0666666666666667,234,0.0888888888888889,0.0666666666666667,0.266666666666667,0.177777777777778,2.26666666666667,7,310,7500
Acad mie H tel Saint Germain, France ,48.855263,2.3305901,9,255,725,0.109803921568627,0.556862745098039,0.00392156862745098,0.0823529411764706,0.0980392156862745,0.149019607843137,0.105882352941176,0.0196078431372549,1608,0.0823529411764706,0.0588235294117647,0.176470588235294,0.525490196078431,2.84313725490196,34,3300,30000
Acca Palace, Italy ,45.5099969,9.1739942,8.5,209,513,0.15311004784689,0.339712918660287,0.00478468899521531,0.076555023923445,0.253588516746411,0.129186602870813,0.177033492822967,0.0239234449760766,774,0.114832535885167,0.0191387559808612,0.277511961722488,0.162679425837321,2.45454545454545,2,242,9900
Ace Hotel London Shoreditch, United Kingdom ,51.5254162,-0.0772849,8.6,514,971,0.17704280155642,0.453307392996109,0.00972762645914397,0.0544747081712062,0.0797665369649805,0.229571984435798,0.182879377431907,0.540856031128405,-408,0.066147859922179,0.0447470817120623,0.0622568093385214,0.268482490272374,1.88910505836576,50,2200,13300
Acevi Villarroel, Spain ,41.3853781,2.1567228,7.8,352,1174,0.127840909090909,0.431818181818182,0,0.0795454545454545,0.150568181818182,0.207386363636364,0.116477272727273,0.0426136363636364,-3282,0.107954545454545,0.0482954545454545,0.196022727272727,0.3125,3.33522727272727,29,3200,13900
Acta Atrium Palace, Spain ,41.390913,2.1706981,8.5,458,1410,0.0720524017467249,0.48471615720524,0,0.0545851528384279,0.181222707423581,0.117903930131004,0.161572052401747,0.0174672489082969,-489,0.100436681222707,0.0218340611353712,0.176855895196507,0.51528384279476,3.07860262008734,28,4100,13900
Acta CITY47, Spain ,41.383515,2.1407396,8.1,381,982,0.10761154855643,0.511811023622047,0,0.047244094488189,0.120734908136483,0.196850393700787,0.115485564304462,0.0393700787401575,-551,0.10498687664042,0.0288713910761155,0.196850393700787,0.31496062992126,2.57742782152231,9,1300,12900
ADI Doria Grand Hotel, Italy ,45.4853717,9.2115837,8.3,147,327,0.238095238095238,0.503401360544218,0.00680272108843537,0.0136054421768707,0.102040816326531,0.244897959183673,0.136054421768707,0.0340136054421769,638,0.115646258503401,0,0.149659863945578,0.285714285714286,2.22448979591837,6,1300,9700
ADI Hotel Poliziano Fiera, Italy ,45.4837173,9.1649371,8.2,107,266,0.177570093457944,0.598130841121495,0.00934579439252336,0.0467289719626168,0.102803738317757,0.102803738317757,0.14018691588785,0.0280373831775701,-213,0.345794392523364,0.00934579439252336,0.345794392523364,0.345794392523364,2.48598130841122,22,563,9400
Admiral Hotel, Italy ,45.480515,9.160063,7.3,26,62,0.653846153846154,0.115384615384615,0,0.0384615384615385,0,0.769230769230769,0.0769230769230769,0.115384615384615,-34,0.192307692307692,0,0.153846153846154,0.307692307692308,2.38461538461538,9,522,8600
Adria Boutique Hotel, United Kingdom ,51.4933372,-0.1788931,8.8,231,522,0.207792207792208,0.463203463203463,0,0.0432900432900433,0.0692640692640693,0.341991341991342,0.0822510822510823,0.432900432900433,31,0.0995670995670996,0.00865800865800866,0.0735930735930736,0.268398268398268,2.25974025974026,7,717,15200
Ako Suites Hotel, Spain ,41.3861153,2.1611899,8.7,131,476,0.106870229007634,0.381679389312977,0,0.0763358778625954,0.297709923664122,0.0916030534351145,0.145038167938931,0.0152671755725191,-355,0.0381679389312977,0.00763358778625954,0.320610687022901,0.473282442748092,3.63358778625954,50,3800,14100
Albus Hotel Amsterdam City Centre, Netherland ,52.365823,4.893243,8.2,194,455,0.0824742268041237,0.479381443298969,0,0.0515463917525773,0.0412371134020619,0.154639175257732,0.262886597938144,0,-702,0.0257731958762887,0.0463917525773196,0.175257731958763,0.541237113402062,2.34536082474227,61,4000,9600
Alexandra Barcelona A DoubleTree by Hilton, Spain ,41.3931918,2.16152,8.3,77,224,0.168831168831169,0.311688311688312,0,0.0779220779220779,0.194805194805195,0.194805194805195,0.207792207792208,0.038961038961039,-1104,0.116883116883117,0.038961038961039,0.051948051948052,0.415584415584416,2.90909090909091,52,3900,14100
Alma Barcelona GL, Spain ,41.3945074,2.1632659,9.2,179,578,0.0893854748603352,0.592178770949721,0,0.0782122905027933,0.0837988826815642,0.0782122905027933,0.167597765363128,0.00558659217877095,1244,0.0893854748603352,0.0446927374301676,0.0670391061452514,0.41340782122905,3.22905027932961,35,3900,14100
Alma Boutique Hotel, Austria ,48.2112491,16.3776519,8.7,152,452,0.263157894736842,0.447368421052632,0,0.0263157894736842,0.0328947368421053,0.414473684210526,0.0789473684210526,0.0131578947368421,1616,0.111842105263158,0.00657894736842105,0.131578947368421,0.638157894736842,2.97368421052632,64,2100,10100
Aloft London Excel, United Kingdom ,51.5083719,0.0355768,8.7,1126,2135,0.247779751332149,0.515985790408526,0.0186500888099467,0.044404973357016,0.0781527531083481,0.233570159857904,0.124333925399645,0.77797513321492,-2317,0.0825932504440497,0.0506216696269982,0.181172291296625,0.186500888099467,1.89609236234458,2,46,2400
Am Spiegeln, Austria ,48.1537005,16.2825822,8.3,21,39,0.666666666666667,0.0952380952380952,0,0,0.0476190476190476,0.80952380952381,0.0476190476190476,0.0952380952380952,-286,0.19047619047619,0,0.380952380952381,0.0952380952380952,1.85714285714286,0,32,1600
Amadi Panorama Hotel, Netherland ,52.3588806,4.9886041,8.4,481,1102,0.17047817047817,0.326403326403326,0.00415800415800416,0.0478170478170478,0.122661122661123,0.361746361746362,0.133056133056133,0,1877,0.0602910602910603,0.027027027027027,0.180873180873181,0.153846153846154,2.29106029106029,5,45,480
Amadi Park Hotel, Netherland ,52.364962,4.873495,8.1,396,929,0.166666666666667,0.457070707070707,0,0.0378787878787879,0.0277777777777778,0.351010101010101,0.126262626262626,0,1192,0.0808080808080808,0.0404040404040404,0.184343434343434,0.308080808080808,2.3459595959596,24,1400,9100
Amarante Beau Manoir, France ,48.870994,2.3235329,7.2,159,471,0.138364779874214,0.276729559748428,0.00628930817610063,0.0880503144654088,0.320754716981132,0.20125786163522,0.113207547169811,0.0628930817610063,-1548,0.0628930817610063,0.0251572327044025,0.0880503144654088,0.547169811320755,2.9622641509434,44,2800,29100
Amarante Champs Elys es, France ,48.8717649,2.2983855,7.7,102,293,0.215686274509804,0.303921568627451,0,0.0784313725490196,0.205882352941176,0.274509803921569,0.137254901960784,0.00980392156862745,-818,0.0784313725490196,0.0294117647058824,0.0686274509803922,0.607843137254902,2.87254901960784,29,1900,20100
Amba Hotel Charing Cross, United Kingdom ,51.508236,-0.1261963,9.3,785,1747,0.10828025477707,0.593630573248408,0.00127388535031847,0.0535031847133758,0.12484076433121,0.15031847133758,0.0777070063694267,0.555414012738853,9067,0.0789808917197452,0.0140127388535032,0.126114649681529,0.463694267515924,2.22547770700637,98,4200,20900
Amba Hotel Marble Arch, United Kingdom ,51.5144004,-0.1565506,8.5,1262,4411,0.137083993660856,0.322503961965135,0.00396196513470681,0.063391442155309,0.288431061806656,0.176703645007924,0.145800316957211,0.309825673534073,-1688,0.0562599049128368,0.0221870047543582,0.153724247226624,0.461965134706815,3.49524564183835,34,1500,19400
