Date,Open,High,Low,Close,Change,order,RSI,EMA
"Apr 28, 2013",135.3,135.98,132.1,134.21,,,,134.21
"Apr 29, 2013",134.44,147.49,134,144.54,7.42%,,,135.4252941
"Apr 30, 2013",144,146.93,134.05,139,-3.91%,,,135.8458478
"May 01, 2013",139,139.89,107.72,116.99,-17.24%,,,133.6275127
"May 02, 2013",116.38,125.6,92.28,105.21,-10.61%,,,130.2842759
"May 03, 2013",106.25,108.13,79.1,97.75,-7.35%,,,126.4567141
"May 04, 2013",98.1,115,92.5,112.5,14.05%,,,124.8147477
"May 05, 2013",112.9,118.8,107.14,115.91,2.99%,,,123.7671303
"May 06, 2013",115.98,124.66,106.64,112.3,-3.16%,,,122.4180562
"May 07, 2013",112.25,113.44,97.7,111.5,-0.71%,,,121.133579
"May 08, 2013",109.6,115.78,109.6,113.57,1.84%,,,120.2437461
"May 09, 2013",113.2,113.46,109.26,112.67,-0.80%,,,119.3527172
"May 10, 2013",112.8,122,111.55,117.2,3.94%,,,119.0994563
"May 11, 2013",117.7,118.68,113.01,115.24,-1.69%,,,118.6454027
"May 12, 2013",115.64,117.45,113.44,115,-0.21%,,39.25495022,118.2165318
"May 13, 2013",114.82,118.7,114.5,117.98,2.56%,,41.36020402,118.1887045
"May 14, 2013",117.98,119.8,110.25,111.5,-5.65%,,38.25542943,117.4017981
"May 15, 2013",111.4,115.81,103.5,114.22,2.41%,,40.28186239,117.0274689
"May 16, 2013",114.22,118.76,112.2,118.76,3.90%,,43.60859585,117.2312961
"May 17, 2013",118.21,125.3,116.57,123.02,3.52%,,46.61383412,117.9123201
"May 18, 2013",123.5,125.25,122.3,123.5,0.39%,,46.95684797,118.5696942
"May 19, 2013",123.21,124.5,119.57,121.99,-1.23%,,45.95650189,118.9720831
"May 20, 2013",122.5,123.62,120.12,122,0.01%,,45.96471176,119.3283086
"May 21, 2013",122.02,123,121.21,122.88,0.72%,,46.73159656,119.7461547
"May 22, 2013",122.89,124,122,123.89,0.82%,,47.64991527,120.2336659
"May 23, 2013",123.8,126.93,123.1,126.7,2.24%,,50.22113037,120.9944111
"May 24, 2013",126.3,133.85,125.72,133.2,5.00%,,55.64773906,122.4303627
"May 25, 2013",133.1,133.22,128.9,131.98,-0.92%,,54.4479736,123.5538494
"May 26, 2013",131.99,136,130.62,133.48,1.13%,,55.71226848,124.7216319
"May 27, 2013",133.5,135.47,124.7,129.75,-2.83%,,51.85786177,125.3132046
