<Date>, <Open>, <High>, <Low>, <Close>, <Volume>
25/11/2015,209.5,209.74,209.01,209.32,51980100
27/11/2015,209.43,209.8,208.86,209.56,37317800
30/11/2015,209.75,209.89,208.56,208.69,112822700
01/12/2015,209.44,210.82,209.11,210.68,97858400
02/12/2015,210.62,211,208.23,208.53,108441300
03/12/2015,208.83,209.15,204.75,205.61,166224200
04/12/2015,205.61,209.97,205.61,209.62,192913900
07/12/2015,209.23,209.73,207.2,208.35,102027100
08/12/2015,206.49,208.29,205.78,206.95,103372400
09/12/2015,206.19,208.68,204.18,205.34,162401500
10/12/2015,205.42,207.43,205.14,205.87,115196800
11/12/2015,203.35,204.14,201.51,201.88,211173300
14/12/2015,202.07,203.05,199.95,202.9,176235400
15/12/2015,204.7,206.11,202.87,205.03,154069600
16/12/2015,206.37,208.39,204.8,208.03,197017000
17/12/2015,208.4,208.48,204.84,204.86,173092500
18/12/2015,202.77,202.93,199.83,200.02,251393500
21/12/2015,201.41,201.88,200.09,201.67,99094300
22/12/2015,202.72,203.85,201.55,203.5,103602200
23/12/2015,204.69,206.07,204.58,206.02,110987200
24/12/2015,205.72,206.33,205.42,205.68,48542200
28/12/2015,204.86,205.26,203.94,205.21,64967100
29/12/2015,206.51,207.79,206.47,207.4,92640700
30/12/2015,207.11,207.21,205.76,205.93,63317700
31/12/2015,205.13,205.89,203.87,203.87,114877900
04/01/2016,200.49,201.03,198.59,201.02,222353500
05/01/2016,201.4,201.9,200.05,201.36,110845800
06/01/2016,198.34,200.06,197.6,198.82,152112600
07/01/2016,195.33,197.44,193.59,194.05,213436100
08/01/2016,195.19,195.85,191.58,191.92,209817200
11/01/2016,193.01,193.41,189.82,192.11,185113200
12/01/2016,193.82,194.55,191.14,193.66,172330500
13/01/2016,194.45,194.86,188.38,188.83,221168900
14/01/2016,189.55,193.26,187.66,191.93,240795600
15/01/2016,186.77,188.76,185.52,187.81,324846400
19/01/2016,189.96,190.11,186.2,188.06,195244400
20/01/2016,185.03,187.5,181.02,185.65,286547800
21/01/2016,186.21,188.87,184.64,186.69,195772900
22/01/2016,189.78,190.76,188.88,190.52,168319600
25/01/2016,189.92,190.15,187.41,187.64,130371700
26/01/2016,188.42,190.53,188.02,190.2,137269900
27/01/2016,189.58,191.56,187.06,188.13,185681700
28/01/2016,189.96,190.2,187.16,189.11,143798800
29/01/2016,190.02,193.88,189.88,193.72,210529300
01/02/2016,192.53,194.58,191.84,193.65,136061600
