<Date>, <Open>, <High>, <Low>, <Close>,Change,Y, <TotalVolume>, <RSI>, <MACD>, <MACDAvg>, <MACDDiff>
25/11/2015,1517.5,1540,1470,1480,0,,72000,0,0,0,0
27/11/2015,1477.5,1517.5,1470,1512.5,2.2,hold,22100,0,0,0,0
30/11/2015,1487.5,1527.5,1475,1490,-1.49,sell,58700,0,0,0,0
01/12/2015,1462.5,1487.5,1372.5,1380,-7.38,buy,96200,0,0,0,0
02/12/2015,1385,1490,1337.5,1472.5,6.7,buy,101300,0,0,0,0
03/12/2015,1422.5,1735,1405,1667.5,13.24,sell,173000,0,0,0,0
04/12/2015,1577.5,1607.5,1382.5,1385,-16.94,buy,115500,0,0,0,0
07/12/2015,1400,1530,1390,1442.5,4.15,buy,85900,0,4.59,0.92,3.67
08/12/2015,1552.5,1587.5,1460,1522.5,5.55,buy,116800,0,14.51,3.64,10.87
09/12/2015,1560,1732.5,1452.5,1642.5,7.88,buy,153600,0,31.69,9.25,22.44
10/12/2015,1657.5,1717.5,1572.5,1682.5,2.44,buy,96600,0,47.98,16.99,30.99
11/12/2015,1855,2250,1820,2182.5,29.72,sell,57127100,0,100.09,33.61,66.47
14/12/2015,2147.5,2355,1817.5,1855,-15.01,sell,55990100,0,113.64,49.62,64.02
15/12/2015,1737.5,1860,1662.5,1710,-7.82,sell,123000,0,111.4,61.97,49.43
16/12/2015,1592.5,1675,1435,1482.5,-13.3,buy,148700,0,90.23,67.63,22.6
17/12/2015,1467.5,1645,1465,1605,8.26,buy,95800,0,82.38,70.58,11.8
18/12/2015,1707.5,1892.5,1675,1862.5,16.04,sell,50232000,0,95.84,75.63,20.21
21/12/2015,1715,1862.5,1677.5,1682.5,-9.66,sell,29511700,0,90.93,78.69,12.24
22/12/2015,1575,1620,1490,1527.5,-9.21,sell,30351800,0,73.68,77.69,-4.01
23/12/2015,1457.5,1530,1440,1462.5,-4.26,buy,20601900,0,54.14,72.98,-18.83
24/12/2015,1485,1522.5,1470,1507.5,3.08,sell,7990900,0,41.81,66.74,-24.93
28/12/2015,1557.5,1610,1447.5,1465,-2.82,sell,26365600,0,28.28,59.05,-30.77
29/12/2015,1432.5,1467.5,1412.5,1440,-1.71,buy,82800,48.17,15.36,50.31,-34.95
