"","Date","Open","High","Low","Close","Volume","Change","Order","RSI","EMA","S.P500"
"1",2010-11-30,26567500,28087500,26097500,28087500,0,NA,NA,NA,28087500,1180.550049
"2",2010-12-01,24995000,25172500,24700000,25172500,0,-10.95725087,"sell",NA,27744558.82,1206.069946
"3",2010-12-02,24577500,24577500,21625000,21647500,0,-15.08621545,"sell",NA,27027257.79,1221.530029
"4",2010-12-03,22090000,22090000,19530000,19695000,0,-9.452517792,"sell",NA,26164639.22,1224.709961
"5",2010-12-06,19942500,2e+07,18655000,18922500,0,-4.001310622,"sell",NA,25312622.84,1223.119995
"6",2010-12-07,18750000,18750000,17525000,18532500,0,-2.082574265,"sell",NA,24514961.33,1223.75
"7",2010-12-08,18430000,18975000,17500000,17730000,0,-4.426782746,"sell",NA,23716730.59,1228.280029
"8",2010-12-09,16690000,17370000,16690000,16872500,0,-4.957304245,"sell",NA,22911526.99,1233
"9",2010-12-10,16655000,16725000,16362500,16587500,0,-1.703567798,"buy",NA,22167523.81,1240.400024
"10",2010-12-13,16300000,17250000,16300000,17187500,0,3.553297577,"hold",NA,21581638.66,1240.459961
"11",2010-12-14,17095000,17600000,16982500,17375000,0,1.085001602,"buy",NA,21086739.99,1241.589966
"12",2010-12-15,17300000,18200000,16962500,18200000,0,4.638920263,"sell",NA,20747123.52,1235.22998
"13",2010-12-16,18025000,18287500,17447500,17895000,0,-1.690024986,"sell",NA,20411579.58,1242.869995
"14",2010-12-17,17560000,17635000,16610000,16827500,0,-6.150689132,"sell",NA,19989923.16,1243.910034
"15",2010-12-20,16467500,16830000,15852500,1.6e+07,0,-5.042573066,"sell",10.53061224,19520520.43,1247.079956
"16",2010-12-21,15575000,15687500,15315000,15425000,0,-3.659915245,"hold",10.12131088,19038694.5,1254.599976
"17",2010-12-22,15125000,15425000,15080000,15322500,0,-0.666723341,"buy",10.04634933,18601495.15,1258.839966
"18",2010-12-23,15450000,16660000,15375000,16227500,0,5.738499755,"buy",15.96434663,18322201.6,1256.77002
"19",2010-12-27,16640000,17327500,16640000,16920000,0,4.178902025,"buy",20.28596718,18157236.71,1257.540039
"20",2010-12-28,16802500,17492500,16802500,17282500,0,2.119807466,"sell",22.5318101,18054326.51,1258.51001
"21",2010-12-29,17110000,17165000,16742500,16752500,0,-3.114692797,"sell",21.57474219,17901170.45,1259.780029
"22",2010-12-30,16905000,16972500,16362500,16465000,0,-1.731058504,"sell",21.05235324,17732209.22,1257.880005
"23",2010-12-31,16522500,16712500,16127500,16180000,0,-1.74610042,"sell",20.52188748,17549596.37,1257.640015
"24",2011-01-03,15637500,15637500,14915000,15125000,0,-6.742690771,"hold",18.64863606,17264349.74,1271.869995
"25",2011-01-04,15162500,16092500,14997500,14997500,0,-0.846548337,"sell",18.42968896,16997661.53,1270.199951
"26",2011-01-05,15610000,15622500,14495000,14655000,0,-2.310194638,"hold",17.82429303,16722054.29,1276.560059
"27",2011-01-06,14532500,1.5e+07,14377500,14735000,0,0.544404203,"hold",18.49774282,16488283.2,1273.849976
"28",2011-01-07,14500000,15595000,14045000,14807500,0,0.490819298,"hold",19.14444502,16290544,1271.5
"29",2011-01-10,15250000,15750000,14602500,14737500,0,-0.473854331,"sell",18.9877866,16107832.94,1269.75
"30",2011-01-11,14297500,14520000,13852500,13852500,0,-6.19295441,"sell",17.0843463,15842499.65,1274.47998
"31",2011-01-12,13500000,13500000,12600000,12692500,0,-8.745445392,"sell",14.96654216,15471911.46,1285.959961
"32",2011-01-13,12605000,12900000,12375000,12445000,0,-1.969233202,"sell",14.55205261,15115804.23,1283.76001
