region,Neighbourhood,poverty,x_coor,y_coor
1,Centro,1,-20.3196699,-40.338479
1,Santa Clara,2,-20.3186884,-40.3452254
1,Vila Rubim,1,-20.3197784,-40.3468197
1,Moscoso,3,-20.3193159,-40.3419903
1,Forte Sao Joao,5,-20.320574,-40.3229
1,Fonte Grande,3,-20.3134557,-40.3375719
1,Piedade,5,-20.3141932,-40.3404421
1,Parque Moscoso,1,-20.3206188,-40.3426743
3,De Lourdes,3,-20.307199,-40.3158817
3,Fradinhos,3,-20.3069131,-40.3280037
3,Horto,1,-20.3096158,-40.3104579
3,Jucutuquara,3,-20.3085919,-40.31971
3,Nazareth,3,-20.3104801,-40.3162007
3,Consolacao,4,-20.3062424,-40.3126913
3,Ilha de Santa Maria,3,-20.3170841,-40.3177959
3,Monte Belo,2,-20.3152551,-40.3133294
3,Cruzamento,3,-20.310337,-40.322262
3,Romao,4,-20.3125183,-40.3254519
3,Jesus de Nazareth,0,-20.3188643,-40.3024808
3,Gurigica,5,-20.3067687,-40.3041415
3,Bento Ferreira,2,-20.3142092,-40.3079257
2,Do Quadro,4,-20.3170592,-40.3500083
2,Santo Antonio,5,-20.3155042,-40.3559607
2,Ariovaldo Favalessa,3,-20.3146828,-40.3563849
2,Ilha do Principe,5,-20.3226121,-40.3509648
2,MÃ¡Rio Cypreste,5,-20.3195399,-40.3554284
2,Santa Tereza,4,-20.3110702,-40.348414
2,Caratoira,4,-20.3153468,-40.3528778
2,Bela Vista,4,-20.3037218,-40.348414
2,Estrelinha,5,-20.293488,-40.3477763
2,Grande Vitoria,4,-20.2976178,-40.2957768
2,Inhangueta,5,-20.299528,-40.3458631
2,Do Cabral,3,-20.3155332,-40.3477763
2,Universitario,3,-20.2956027,-40.3401232
5,Ilha do Frade,0,-20.2976178,-40.2957768
5,Ilha Bela,0,-20.2875943,-40.2970255
5,Praia do Canto,0,-20.2996261,-40.2922686
5,Barro Vermelho,0,-20.2949779,-40.2980132
5,Santa Lucia,0,-20.3024142,-40.2999279
5,Enseada do Sua,1,-20.3194015,-40.2960984
5,Santa Luiza,0,-20.2910669,-40.3028745
5,Praia do Sua,2,-20.3130059,-40.2992897
5,Santa Helena,0,-20.3095138,-40.2941835
4,Maruipe,3,-20.296341,-40.31971
4,Joana DArc,2,-20.2843585,-40.3165198
4,Sao Cristovao,4,-20.2976178,-40.2957768
4,Tabuazeiro,3,-20.2944114,-40.322262
4,Andorinhas,3,-20.287964,-40.3056718
4,Itarare,4,-20.2953996,-40.3075863
4,Santa Martha,4,-20.2873442,-40.3101388
4,Santos Dumont,5,-20.3019461,-40.3171578
4,Bonfim,4,-20.3005529,-40.3133294
4,Da Penha,4,-20.297582,-40.310777
4,Sao Benedito,5,-20.3010893,-40.3069481
4,Santa Cecilia,4,-20.3041278,-40.320348
7,Sao Pedro,4,-20.2819621,-40.3362962
7,Santo Andre,5,-20.2793443,-40.332469
7,Sao Jose,4,-15.0667827,-39.3724892
7,Redencao,4,-20.2791758,-40.3286416
7,Resistencia,3,-20.2729812,-40.3177959
7,Nova Palestina,4,-20.272615,-40.3280037
7,Santos Reis,5,-20.2838914,-40.3337448
7,Ilha das Caieiras,3,-20.2774151,-40.3350205
7,Conquista,4,-14.8619237,-40.8445346
7,Comdusa,4,-20.2872137,-40.3350205
6,Jardim da Penha,1,-20.2850907,-40.2960984
6,Morada de Camburi,1,-20.2720492,-40.2967367
6,Jabour,1,-20.2584011,-40.2929069
6,Pontal de Camburi,4,-20.2900766,-40.2980132
6,Republica,3,-20.270654,-40.2929069
6,Antonio Honorio,1,-20.2631207,-40.2980132
6,Seguranca do Lar,4,-20.263254,-40.2964175
6,Boa Vista,2,-20.2713455,-40.2992897
6,Solon Borges,3,-20.2613736,-40.2954601
6,Aeroporto,2,-20.2576489,-40.2835346
6,Goiabeiras,3,-20.2724733,-40.30631
6,Maria Ortiz,4,-20.258305,-40.2999279
6,Mata da Praia,1,-20.2751185,-40.2922686
9,Ilha De Trindade,5,-20.5080654,-29.3308425
8,Jardim Camburi,2,-20.2592187,-40.2654531
1,Do Moscoso,3,-20.3193159,-40.3419903
5,Ilha do Boi,3,-20.310668,-40.280983
9,Ilhas Da Trindade,5,-20.5080654,-29.3308425
2,Mario Cypreste,5,-20.3195399,-40.3554284
8,Parque Industrial,3,-20.253664,-40.241422
