region,neighbourhood,poverty,x_coor,y_coor,Original
1,Centro,1,-20.3196699,-40.338479,CENTRO
1,Santa Clara,2,-20.3186884,-40.3452254,SANTA CLARA
1,Vila Rubim,1,-20.3197784,-40.3468197,VILA RUBIM
1,Moscoso,3,-20.3193159,-40.3419903,MOSCOSO
1,Forte Sí£o Joí£o,5,-20.320574,-40.3229,FORTE SÌÄO JOÌÄO
1,Fonte Grande,3,-20.3134557,-40.3375719,FONTE GRANDE
1,Piedade,5,-20.3141932,-40.3404421,PIEDADE
1,Parque Moscoso,1,-20.3206188,-40.3426743,PARQUE MOSCOSO
3,De Lourdes,3,-20.307199,-40.3158817,DE LOURDES
3,Fradinhos,3,-20.3069131,-40.3280037,FRADINHOS
3,Horto,1,-20.3096158,-40.3104579,HORTO
3,Jucutuquara,3,-20.3085919,-40.31971,JUCUTUQUARA
3,Nazareth,3,-20.3104801,-40.3162007,NAZARETH
3,Consolaí_í£o,4,-20.3062424,-40.3126913,CONSOLAÌàÌÄO
3,Ilha de Santa Maria,3,-20.3170841,-40.3177959,ILHA DE SANTA MARIA
3,Monte Belo,2,-20.3152551,-40.3133294,MONTE BELO
3,Cruzamento,3,-20.310337,-40.322262,CRUZAMENTO
3,Romí£o,4,-20.3125183,-40.3254519,ROMÌÄO
3,Jesus de Nazareth,0,-20.3188643,-40.3024808,JESUS DE NAZARETH
3,Gurigica,5,-20.3067687,-40.3041415,GURIGICA
3,Bento Ferreira,2,-20.3142092,-40.3079257,BENTO FERREIRA
2,Do Quadro,4,-20.3170592,-40.3500083,DO QUADRO
2,Santo AntíÇnio,5,-20.3155042,-40.3559607,SANTO ANTÌÓNIO
2,Ariovaldo Favalessa,3,-20.3146828,-40.3563849,ARIOVALDO FAVALESSA
2,Ilha do Prí_ncipe,5,-20.3226121,-40.3509648,ILHA DO PRÌNCIPE
2,Míçrio Cypreste,5,-20.3195399,-40.3554284,MíçRIO CYPRESTE
2,Santa Tereza,4,-20.3110702,-40.348414,SANTA TEREZA
2,Caratoí_ra,4,-20.3153468,-40.3528778,CARATOÌRA
2,Bela Vista,4,-20.3037218,-40.348414,BELA VISTA
2,Estrelinha,5,-20.293488,-40.3477763,ESTRELINHA
2,Grande Vití_ria,4,-20.2976178,-40.2957768,GRANDE VITÌÒRIA
2,Inhanguetíç,5,-20.299528,-40.3458631,INHANGUETÌ
2,Do Cabral,3,-20.3155332,-40.3477763,DO CABRAL
2,Universitíçrio,3,-20.2956027,-40.3401232,UNIVERSITÌRIO
5,Ilha do Frade,0,-20.2976178,-40.2957768,ILHA DO FRADE
5,Ilha Bela,0,-20.2875943,-40.2970255,ILHA BELA
5,Praia do Canto,0,-20.2996261,-40.2922686,PRAIA DO CANTO
5,Barro Vermelho,0,-20.2949779,-40.2980132,BARRO VERMELHO
5,Santa Lí_cia,0,-20.3024142,-40.2999279,SANTA LÌ_CIA
5,Enseada do Suíç,1,-20.3194015,-40.2960984,ENSEADA DO SUÌ
5,Santa Luiza,0,-20.2910669,-40.3028745,SANTA LUÌZA
5,Praia do Suíç,2,-20.3130059,-40.2992897,PRAIA DO SUÌ
5,Santa Helena,0,-20.3095138,-40.2941835,SANTA HELENA
4,Maruí_pe,3,-20.296341,-40.31971,MARUÌPE
4,Joana Darc,2,-20.2843585,-40.3165198,JOANA Då«ARC
4,Sí£o Cristoví£o,4,-20.2976178,-40.2957768,SÌÄO CRISTÌÒVÌÄO
4,Tabuazeiro,3,-20.2944114,-40.322262,TABUAZEIRO
